Name,Symptoms
Panic disorder,"Palpitations, Sweating, Trembling, Shortness of breath, Fear of losing control, Dizziness"
Vocal cord polyp,"Hoarseness, Vocal Changes, Vocal Fatigue"
Turner syndrome,"Short stature, Gonadal dysgenesis, Webbed neck, Lymphedema"
Cryptorchidism,"Absence or undescended testicle(s), empty scrotum, smaller or underdeveloped testicle(s), inguinal hernia, abnormal positioning of the testicle(s) (higher in the groin area)"
Ethylene glycol poisoning-1,"Nausea, vomiting, abdominal pain, General malaise, weakness, Increased thirst, frequent urination"
Ethylene glycol poisoning-2,"Metabolic acidosis, apid breathing, rapid heart rate, confusion, headache, dizziness, seizures"
Ethylene glycol poisoning-3,"Decreased urine output, swelling in the legs and ankles, and signs of fluid overload, Severe kidney damage"
Atrophic vaginitis,"Vaginal dryness, Vaginal burning, frequent urination, urinary tract infections, Painful intercourse"
Fracture,"Pain, Swelling, Bruising, Deformity, Difficulty moving, Loss of function"
Cellulitis,"Redness, Pain, tenderness, Swelling, Skin changes, Lymph node enlargement"
Eye alignment disorder,"Double vision, Eye fatigue, Poor depth perception, Head tilting"
Headache after lumbar puncture,throbbing headache
Pyloric stenosis,"Persistent hunger, Weight loss, Dehydration, Visible peristalsis, Palpable mass, Fussiness "
Adenoid cystic carcinoma,"Lump, swelling, Facial numbness, tingling"
Pleomorphic adenoma,"Painless lump or swelling, Facial changes"
Warthin tumor,"Painless lump or swelling, Facial changes"
Mucoepidermoid carcinoma,"Lump, swelling, Difficulty, pain when swallowing and speaking, Facial weakness, Facial paralysis "
Acinic cell carcinoma,"Lump, swelling, Facial changes"
Mucocele,Painless fluid-filled swelling in the oral cavity
Osteochondrosis,"Joint pain, stiffness, swelling, reduced range of motion"
Sialolithiasis,"Swelling, pain, tenderness, difficulty eating"
Submandibular stones,"Swelling, pain, dry mouth, bad taste"
Parotid stones,"Swelling, pain, dry mouth, bad taste"
Recurrent salivary stones,Frequent episodes of stone formation
Wharton's duct stones,"Swelling, pain, dry mouth, bad taste"
Mumps,"Swollen salivary glands (usually parotid), fever, headache, fatigue"
Ludwig's angina,"Severe swelling of the floor of the mouth, fever, difficulty swallowing, drooling"
Mucocele,"Painless swelling, usually on the lower lip or floor of the mouth"
Abscess,"Swelling, pain, redness, fever, pus formation"
Sjögren's syndrome,"Dry mouth and eyes, fatigue, joint pain, dry skin"
Open-Angle Glaucoma,"Gradual loss of peripheral vision, tunnel vision"
